,Performer,Song,Explicit Content,Track Popularity
395,Pedro Capo X Farruko,Calma,,
396,Harry Styles,Cherry,False,84.0
397,Jonas Brothers,Sucker,False,87.0
398,DaBaby,Suge,True,87.0
399,Summer Walker,Playing Games,True,81.0
400,Jonas Brothers,Cool,False,76.0
401,Maroon 5,Memories,False,98.0
402,Lady Gaga,Applause,False,71.0
403,One Direction,Story Of My Life,False,81.0
404,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang,False,79.0
405,Drake,Summer Sixteen,True,60.0
406,Ed Sheeran,Castle On The Hill,False,80.0
407,J. Cole,ATM,True,71.0
408,Celine Dion,All By Myself,False,67.0
409,Aqua,Barbie Girl,False,63.0
410,Akon,"Sorry, Blame It On Me",False,59.0
411,Ke$ha Featuring 3OH!3,Blah Blah Blah,,
412,B.o.B Featuring Lil Wayne,Strange Clouds,True,61.0
413,Taylor Swift,Begin Again,False,57.0
414,Eminem,Rap God,True,79.0
415,J. Cole,Deja Vu,True,71.0
416,The Chainsmokers,Paris,False,77.0
417,Drake,Diplomatic Immunity,True,59.0
418,The Weeknd & Kendrick Lamar,Pray For Me,True,78.0
419,Post Malone,Better Now,True,88.0
420,Billie Eilish,Bad Guy,False,96.0
421,Shawn Colvin,Sunny Came Home,False,58.0
422,Coldplay,Speed Of Sound,False,70.0
423,Miley Cyrus,Can't Be Tamed,False,62.0
424,Taylor Swift,Speak Now,False,53.0
425,Glee Cast,Teenage Dream,False,55.0
426,Adele,Skyfall,False,74.0
427,Maroon 5,Sugar,True,81.0
428,Kelly Clarkson,Piece By Piece,False,67.0
429,Drake,Passionfruit,True,81.0
430,Travis Scott,Stargazing,True,82.0
431,BTS Featuring Halsey,Boy With Luv,False,87.0
432,Eric Clapton,Change The World,False,67.0
433,P!nk,So What,True,69.0
434,Lady Gaga,Bad Romance,True,80.0
435,Lil Wayne Featuring Cory Gunz,6 Foot 7 Foot,True,71.0
436,Drake Featuring Rihanna,Take Care,True,72.0
437,Nicki Minaj,Starships,True,69.0
438,The Chainsmokers Featuring Halsey,Closer,False,86.0
439,Drake Featuring Quavo & Travis Scott,Portland,True,75.0
440,Justin Timberlake Featuring Chris Stapleton,Say Something,False,61.0
441,Drake Featuring Michael Jackson,Don't Matter To Me,,
442,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),,
443,U2,Discotheque,False,47.0
444,Puff Daddy Featuring Jimmy Page,Come With Me,,
445,Taylor Swift,Change,False,48.0
446,Demi Lovato,Skyscraper,False,68.0
447,One Direction,Perfect,False,75.0
448,Ariana Grande,Dangerous Woman,False,55.0
449,The Beatles,Real Love,False,51.0
450,Jonas Brothers,A Little Bit Longer,False,53.0
451,Glee Cast,Rumour Has It / Someone Like You,False,56.0
452,B.o.B,So Good,False,64.0
453,One Direction,Diana,False,64.0
454,Florida Georgia Line,Dirt,False,63.0
455,Beyonce,Sorry,True,74.0
456,Katy Perry,Rise,False,66.0
457,Post Malone,Paranoid,False,77.0
458,Kanye West,All Mine,True,74.0
459,TLC,Diggin' On You,False,54.0
460,Katharine McPhee,Somewhere Over The Rainbow,False,41.0
461,Beyonce,Ring The Alarm,False,53.0
462,B.o.B Featuring Hayley Williams,Airplanes,True,76.0
463,Kanye West Featuring Pusha T,Runaway,True,75.0
464,Jason Aldean,Take A Little Ride,False,58.0
465,will.i.am & Britney Spears,Scream & Shout,True,74.0
466,Jason Aldean,Burnin' It Down,False,64.0
467,The Verve,Bitter Sweet Symphony,False,79.0
468,Marcy Playground,Sex And Candy,False,69.0
469,Keith Sweat Featuring Snoop Dogg,Come And Get With Me,False,36.0
470,Taylor Swift,Ours,False,56.0
471,Ke$ha,Die Young,,
472,Taylor Swift,State Of Grace,False,55.0
473,Lady Gaga Featuring R. Kelly,Do What U Want,True,55.0
474,One Direction,Steal My Girl,False,74.0
475,The Carters,Apes**t,,
476,Machine Gun Kelly,Rap Devil,True,70.0
477,Janet Jackson,That's The Way Love Goes,False,66.0
478,Monica,The First Night,False,47.0
479,Eagle-Eye Cherry,Save Tonight,False,64.0
480,Janet,All For You,False,57.0
481,Corbin Bleu,Push It To The Limit,False,52.0
482,Cardi B Featuring 21 Savage,Bartier Cardi,True,72.0
483,J. Cole,Photograph,True,67.0
484,Post Malone,Rich & Sad,True,77.0
485,Lil Wayne,Dedicate,True,64.0
486,Madonna,Rescue Me,False,40.0
487,Janet Jackson,Again,False,68.0
488,K-Ci & JoJo,All My Life,False,72.0
489,Ed Sheeran,Sing,False,71.0
490,Ariana Grande Featuring Zedd,Break Free,False,55.0
491,"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",All Day,True,63.0
492,Lady Gaga,Perfect Illusion,False,67.0
493,Post Malone Featuring Swae Lee,Spoil My Night,True,75.0
494,The Danleers,One Summer Night,False,42.0
495,Jonas Brothers,Pushin' Me Away,False,48.0
496,"Jay-Z, Bono, The Edge & Rihanna",Stranded (Haiti Mon Amour),,
497,Coldplay,Paradise,False,79.0
498,Taylor Swift,Ronan,False,47.0
499,Rihanna,Diamonds,False,67.0
500,Luke Bryan,That's My Kind Of Night,False,70.0
501,A Great Big World & Christina Aguilera,Say Something,False,80.0
502,5 Seconds Of Summer,Amnesia,False,70.0
503,Drake Featuring The Throne,Pop Style,True,65.0
504,David Guetta Featuring Justin Bieber,2U,False,67.0
505,Cardi B,Be Careful,True,73.0
506,Post Malone Featuring Nicki Minaj,Ball For Me,True,76.0
507,XXXTENTACION,BAD!,True,82.0
508,Cardi B,Press,True,75.0
509,Madonna,"Don't Cry For Me Argentina (From ""Evita"")",False,25.0
510,Third Eye Blind,Semi-Charmed Life,,
511,Britney Spears,...Baby One More Time,False,77.0
512,Alanis Morissette,Thank U,False,63.0
513,Nine Inch Nails,The Day The World Went Away,False,46.0
514,The Beach Boys,Sloop John B,False,62.0
515,Four Tops,Bernadette,False,43.0
516,Poni-Tails,Born Too Late,False,27.0
