,Performer,Song,Explicit Content,Track Popularity
16482,Neil Diamond,Front Page Story,False,11.0
16483,Pretenders,My Baby,False,35.0
16484,Vixen,Love Is A Killer,False,39.0
16485,Lisa Keith,I'm In Love,False,10.0
16486,Stardust,Music Sounds Better With You,False,60.0
16487,Faith Hill,Love Ain't Like That,False,29.0
16488,Jay-Z Featuring Big Jaz,Jigga What...,True,57.0
16489,Gerald Levert,Mr. Too Damn Good,False,43.0
16490,Bjork,Earth Intruders,False,29.0
16491,CSS,Music Is My Hot Hot Sex,False,43.0
16492,Janet,Feedback,False,45.0
16493,Jonas Brothers,Love Is On Its Way,False,33.0
16494,Adam Lambert,For Your Entertainment,False,54.0
16495,Disney's Friends For Change,Make A Wave,,
16496,Sean Kingston,Dumb Love,False,59.0
16497,Taylor Swift,Never Grow Up,False,53.0
16498,Lil Wayne Featuring T-Pain,How To Hate,True,49.0
16499,Terry McDermott,I Want To Know What Love Is,False,24.0
16500,Glee Cast,Make You Feel My Love,False,55.0
16501,Coldplay,Midnight,False,66.0
16502,Craig Wayne Boyd,I Walk The Line,False,16.0
16503,twenty one pilots,Fairly Local,False,69.0
16504,Koryn Hawthorne,Make It Rain,False,26.0
16505,Kanye West,FML,True,70.0
16506,"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",Holy Key,True,48.0
16507,Kodak Black,Everything 1K,True,48.0
16508,Swae Lee Featuring Slim Jxmmi,Guatemala,,
16509,Kane Brown,Lose It,False,72.0
16510,The Daddy-O's,Got A Match?,,
16511,Jerry Lee Lewis And His Pumping Piano,I'll Make It All Up To You,,
16512,Perez Prado And His Orchestra,Guaglione,,
16513,The Everly Brothers,Love Of My Life,False,15.0
16514,Johnny Cash And The Tennessee Two,I Just Thought You'd Like To Know,,
16515,Rosco Gordon,Just A Little Bit,False,14.0
16516,The Ventures,Lullaby Of The Leaves,False,24.0
16517,Frank Sinatra,Ev'rybody's Twistin',,
16518,Carla Thomas,I've Got No Time To Lose,False,14.0
16519,The Blendells,La La La La La,False,6.0
16520,Cathy & Joe,I See You,False,4.0
16521,The Beach Boys,Little Honda,False,33.0
16522,Ray Charles,Makin' Whoopee,,
16523,LaVern Baker,Fly Me To The Moon,False,12.0
16524,Dionne Warwick,Here I Am,False,13.0
16525,Roy Orbison,Let The Good Times Roll,False,13.0
16526,James Brown And The Famous Flames,I'll Go Crazy,False,27.0
16527,The Joe Cuba Sextet,Oh Yeah!,,
16528,The Rolling Stones,Let's Spend The Night Together,False,51.0
16529,Marlena Shaw,"Mercy, Mercy, Mercy",False,23.0
16530,The Contours,It's So Hard Being A Loser,False,11.0
16531,Brenda Holloway,Just Look What You've Done,False,19.0
16532,The Arbors,Graduation Day,False,6.0
16533,Betty Harris,Nearer To You,False,12.0
16534,The Lovin' Spoonful,Money,False,17.0
16535,Glen Campbell,Hey Little One,False,31.0
16536,Miriam Makeba,Malayisha,False,2.0
16537,Jimmy Ruffin,I'll Say Forever My Love,False,30.0
16538,The Moments,Not On The Outside,False,34.0
16539,Paul Anka,In The Still Of The Night,False,10.0
16540,Johnnie Taylor,I Could Never Be President,False,6.0
16541,Peaches & Herb,Let Me Be The One,,
16542,The Honey Cone,Girls It Ain't Easy,,
16543,Gary Puckett,I Just Don't Know What To Do With Myself,False,19.0
16544,Gary Puckett,Keep The Customer Satisfied,False,16.0
16545,Humble Pie,I Don't Need No Doctor,False,31.0
16546,John Kay,I'm Movin' On,False,8.0
16547,Rare Earth,Good Time Sally,False,14.0
16548,Rod Stewart,Oh! No Not My Baby,False,25.0
16549,Bob Dylan/The Band,Most Likely You Go Your Way (And I'll Go Mine),False,40.0
16550,Smokey Robinson,I Am I Am,False,22.0
16551,Sam Neely,I Fought The Law,,
16552,Jackson 5,Forever Came Today,False,34.0
16553,The Blackbyrds,Flyin' High,,
16554,Billy Preston,Fancy Lady,False,10.0
16555,10cc,I'm Mandy Fly Me,False,41.0
16556,Sherbet,Howzat,False,49.0
16557,Lenny LeBlanc,Hound Dog Man (Play It Again),,
16558,Karen Nelson And Billy T,Love Me One More Time (Just For Old Times Sake),,
16559,KISS,Love Gun,False,60.0
16560,Steve Martin,Grandmother's Song,False,16.0
16561,Cazz,Let's Live Together,,
16562,Fotomaker,Miles Away,False,3.0
16563,Ray Stevens,I Need Your Help Barry Manilow,,
16564,Errol Sober,Heart To Heart,,
16565,Ian Matthews,Give Me An Inch,,
16566,"Evelyn ""Champagne"" King",Music Box,False,7.0
16567,Hot Chocolate,Going Through The Motions,False,0.0
16568,Blackjack,Love Me Tonight,,
16569,Flash And The Pan,"Hey, St. Peter",False,46.0
16570,Addrisi Brothers,Ghost Dancer,,
16571,New England,"Hello, Hello, Hello",False,9.0
16572,Sister Sledge,Got To Love Somebody,False,39.0
16573,Humble Pie,Fool For A Pretty Face (Hurt By Love),,
16574,Captain & Tennille,Happy Together (A Fantasy),False,19.0
16575,Anne Murray,I'm Happy Just To Dance With You,False,8.0
16576,Jon & Vangelis,I Hear You Now,False,51.0
16577,Commodores,Heroes,False,14.0
16578,Rupert Holmes,Morning Man,False,7.0
16579,Lakeside,Fantastic Voyage,False,49.0
16580,The Isley Brothers,Hurry Up And Wait,False,16.0
16581,Styx,Nothing Ever Goes As Planned,False,34.0
16582,Yutaka,Love Light,,
16583,Don McLean,It's Just The Sun,False,29.0
16584,Meat Loaf,I'm Gonna Love Her For Both Of Us,False,34.0
16585,Bow Wow Wow,I Want Candy,False,50.0
16586,Meco,Ewok Celebration,,
16587,"Earth, Wind & Fire",Magnetic,False,23.0
16588,Diana Ross,Let's Go Up,False,9.0
16589,Mr. Mister,Hunters Of The Night,False,18.0
16590,Kim Carnes,I Pretend,False,26.0
16591,Timmy Thomas,Gotta Give A Little Love (Ten Years Later),,
16592,Yes,It Can Happen,False,43.0
16593,Honeymoon Suite,New Girl Now,False,48.0
16594,Freddie Mercury,Love Kills,False,35.0
16595,Kim Carnes,Invitation To Dance,False,15.0
16596,Tom Petty And The Heartbreakers,Make It Better (Forget About Me),False,25.0
16597,Bob Seger,It's You,False,28.0
16598,David Lee Roth,Goin' Crazy!,False,39.0
16599,Debbie Harry,In Love With Love,False,14.0
16600,Kevin Raleigh,Moonlight On Water,,
16601,Fine Young Cannibals,I'm Not The Man I Used To Be,False,48.0
16602,The Cure,Lullaby,False,54.0
16603,Rick Astley,Move Right Out,False,15.0
16604,Sting,Fields Of Gold,False,70.0
16605,Spin Doctors,Jimmy Olsen's Blues,False,43.0
16606,MeShell Ndegeocello,If That's Your Boyfriend (He Wasn't Last Night),True,29.0
16607,Frost,La Familia,True,27.0
16608,Baby Talk,Hooked On A Feeling (Ooga-Chaka),,
16609,Alabama,Keepin' Up,False,26.0
16610,Donna Summer,I Will Go With You (Con Te Partiro),False,38.0
16611,Squeak E. Clean Featuring Karen O,Hello Tomorrow,False,21.0
16612,Omarion,Entourage,False,42.0
16613,Ozzy Osbourne,I Don't Wanna Stop,False,62.0
16614,Eminem,Insane,True,55.0
16615,Taylor Swift,Long Live,False,52.0
16616,B.o.B,I Am The Champion,,
16617,Ellie Goulding,Lights,False,62.0
16618,Jay Sean Featuring Pitbull,I'm All Yours,False,47.0
16619,Michelle Chamuel,I Knew You Were Trouble,False,13.0
16620,Fifth Harmony,Miss Movin' On,False,65.0
16621,Enrique Iglesias Featuring Marco Antonio Solis,El Perdedor,False,63.0
16622,The Weeknd Featuring Labrinth,Losers,True,64.0
16623,Ariana Grande Featuring Future,Everyday,True,72.0
16624,Gorillaz Featuring George Benson,Humility,False,69.0
16625,The Drifters,Moonlight Bay,False,7.0
16626,David Seville,Judy,,
16627,Don Gibson,"Far, Far Away",False,16.0
16628,Jimmy Reed,Hush-Hush,,
16629,Johnny Preston,Leave My Kitten Alone,False,9.0
16630,Claude Gray,I'll Just Have A Cup Of Coffee (Then I'll Go),False,11.0
16631,The Miracles,Everybody's Gotta Pay Some Dues,False,19.0
16632,Linda Scott,It's All Because,,
16633,Marty Robbins,Love Can't Wait,,
16634,Sandy Nelson,Drum Stomp,False,4.0
16635,Johnny Mathis,Marianna,False,4.0
16636,Florraine Darlin,Long As The Rose Is Red,,
16637,Rick Nelson,I Got A Woman,,
16638,The Greenwood County Singers,Frankie And Johnny,,
16639,Dion Di Muci,Johnny B. Goode,,
16640,Connie Francis,For Mama (La Mamma),,
16641,Arthur Prysock,"It's Too Late, Baby Too Late",False,4.0
16642,The Contours,Just A Little Misunderstanding,False,35.0
16643,The Shades Of Blue,Lonely Summer,,
16644,Jackie DeShannon,I Can Make It With You,False,7.0
16645,James Brown And The Famous Flames,Kansas City,False,11.0
16646,Elvis Presley With The Jordanaires,Long Legged Girl (With The Short Dress On),,
16647,The Staple Singers,For What It's Worth,False,50.0
16648,The Candymen,Georgia Pines,False,1.0
16649,King Curtis & The Kingpins,I Was Made To Love Her,False,16.0
16650,1910 Fruitgum Co.,May I Take A Giant Step (Into Your Heart),False,10.0
16651,The Iveys,Maybe Tomorrow,False,17.0
16652,"The Checkmates, Ltd.",Love Is All I Have To Give,False,13.0
16653,John & Anne Ryder,I Still Believe In Tomorrow,,
16654,James Brown,Funky Drummer (Part 1),,
16655,Turley Richards,Love Minus Zero-No Limit,,
16656,The Steve Miller Band,Going To The Country,,
16657,Diane Kolby,Holy Man,,
16658,White Plains,Lovin' You Baby,,
16659,Gypsy,Gypsy Queen - Part 1,,
16660,Charley Pride,I'd Rather Love You,False,27.0
16661,Perry Como,I Think Of You,False,20.0
16662,R. Dean Taylor,Gotta See Jane,False,12.0
16663,Stevie Wonder,Never Dreamed You'd Leave In Summer,False,39.0
16664,B.J. Thomas,Long Ago Tomorrow,False,19.0
16665,Little Johnny Taylor,Everybody Knows About My Good Thing Pt. 1,False,12.0
16666,Billy Preston,I Wrote A Simple Song,False,23.0
16667,Tyrone Davis,I Had It All The Time,False,19.0
16668,Dr. John,Iko Iko,False,48.0
16669,Engelbert Humperdinck,In Time,False,20.0
16670,Donovan,I Like You,False,1.0
16671,America,Muskrat Love,False,40.0
16672,Seals & Crofts,King Of Nothing,False,32.0
16673,Margie Joseph,My Love,False,8.0
16674,Wet Willie,Leona,False,8.0
16675,Ron Banks And The Dramatics,Me And Mrs. Jones,,
16676,Roberta Flack,Feelin' That Glow,False,26.0
16677,The Hudson Brothers,Lonely School Year,,
16678,The Doobie Brothers,I Cheat The Hangman,False,24.0
16679,Biddu Orchestra,I Could Have Danced All Night/Jump For Joy,,
16680,Head East,Love Me Tonight,False,28.0
16681,The Tymes,It's Cool,False,6.0
16682,Carole King,High Out Of Time,False,15.0
16683,Alice Cooper,I Never Cry,False,49.0
16684,Derringer,Let Me In,False,9.0
16685,Aerosmith,Home Tonight,False,33.0
16686,The Hudson Brothers,Help Wanted,,
16687,Paul Anka,Happier,False,13.0
16688,The Sons Of Champlin,Here Is Where Your Love Belongs,False,8.0
16689,Chuck Mangione With The Hamilton Philharmonic Orchestra,Land Of Make Believe,,
16690,Paul Anka,Everybody Ought To Be In Love,,
16691,Outlaws,Hurry Sundown,False,34.0
16692,Kayak,I Want You To Be Mine,,
16693,Debby Boone,"God Knows/Baby, I'm Yours",,
16694,Andrew Gold,Never Let Her Slip Away,False,47.0
16695,Paul Nicholas,On The Strip,,
16696,Billy Preston,Get Back,False,12.0
16697,Kenny Loggins,Easy Driver,False,15.0
16698,Neil Young,Four Strong Winds,False,52.0
16699,Cooper Brothers Band,I'll Know Her When I See Her,,
16700,Dave Edmunds,Girls Talk,False,46.0
16701,Neil Young & Crazy Horse,"Hey Hey, My My (Into The Black)",False,46.0
16702,The Police,Message In A Bottle,False,75.0
16703,Mike Pinera,Goodnight My Love,False,19.0
16704,Crystal Gayle,It's Like We Never Said Goodbye,False,25.0
16705,707,I Could Be Good For You,False,24.0
16706,Badfinger,Hold On,,
16707,Stevie Wonder,Lately,False,56.0
16708,Larry John McNally,Just Like Paradise,False,11.0
16709,Anne Murray,It's All I Can Do,False,6.0
16710,Barbra Streisand,Memory,False,56.0
16711,T.G. Sheppard,Finally,False,37.0
16712,Sparks,I Predict,False,26.0
16713,Greg Kihn Band,Happy Man,False,13.0
16714,Greg Kihn Band,Every Love Song,False,13.0
16715,Sheena Easton,I Wouldn't Beg For Water,False,16.0
16716,The Spinners,Funny How Time Slips Away,False,6.0
16717,Donald Fagen,New Frontier,False,48.0
16718,The Doors,Gloria,False,53.0
16719,Kenny Rogers,Eyes That See In The Dark,False,19.0
16720,Melissa Manchester,Mathematics,False,4.0
16721,Duran Duran,Meet El Presidente,False,13.0
16722,Run-D.M.C.,"Mary, Mary",False,40.0
16723,Jane Wiedlin,Inside A Dream,False,15.0
16724,Patti LaBelle,"If You Asked Me To (From ""Licence To Kill"")",,
16725,Kingofthehill,If I Say,,
16726,Bette Midler,Every Road Leads Back To You,False,23.0
16727,Chaka Khan,Love You All My Lifetime,False,27.0
16728,Mitch Malloy,Nobody Wins In This War,False,24.0
16729,Too $hort,I'm A Player,True,56.0
16730,Raphael Saadiq & Q-Tip,Get Involved,False,23.0
16731,112 Featuring Super Cat,Na Na Na,False,33.0
16732,Cheyenne Kimball,Hanging On,False,30.0
16733,Britney Spears,If U Seek Amy,False,65.0
16734,Framing Hanley,Lollipop,False,60.0
16735,Maroon 5,Give A Little More,False,50.0
16736,P!nk,F**kin' Perfect,,
16737,Eric Church,Homeboy,False,58.0
16738,Linkin Park,Iridescent,False,55.0
16739,Glee Cast,Hit Me With Your Best Shot / One Way Or Another,False,42.0
16740,Glee Cast,I'm The Only One,False,32.0
16741,A$AP Rocky,Long Live A$AP,True,61.0
16742,Childish Gambino,I. Crawl,False,36.0
16743,Eminem Featuring Nate Ruess,Headlights,True,64.0
16744,Chance The Rapper Featuring Lil Wayne & 2 Chainz,No Problem,True,76.0
16745,JAY-Z,Moonlight,True,58.0
16746,Jake Paul & Erika Costell Featuring Uncle Kade,Jerika,,
16747,"Farruko, Nicki Minaj, Bad Bunny, 21 Savage & Rvssian",Krippy Kush,True,67.0
16748,Lauv & Troye Sivan,I'm So Tired...,False,85.0
16749,Offset,Lick,True,68.0
16750,Kitty Wells,Jealousy,,
16751,The Four Aces,"No Other Arms, No Other Lips",,
16752,Conway Twitty,Hey Little Lucy! (Don'tcha Put No Lipstick On),,
16753,Johnny Cash And The Tennessee Two,Katy Too,,
16754,"Carl Dobkins, Jr.",If You Don't Want My Lovin',False,0.0
16755,The Kingston Trio,Everglades,False,20.0
16756,The Royaltones,Flamingo Express,,
16757,The New Yorkers,Miss Fine,False,0.0
16758,Ray Charles,I'm Gonna Move To The Outskirts Of Town,False,21.0
16759,Vic Dana,I Will,False,17.0
16760,The Ventures,Lolita Ya-Ya,,
16761,Dinah Washington,I Want To Be Loved,False,17.0
16762,Paul Petersen,Lollipops And Roses,False,3.0
16763,Dee Clark,I'm Going Back To School,False,0.0
16764,Brian Hyland,I May Not Live To See Tomorrow,,
16765,Eddie Holland,Leaving Here,False,29.0
16766,Jack Jones,Love With The Proper Stranger,False,17.0
16767,The Tams,It's All Right (You're Just In Love),False,6.0
16768,Connie Francis,Looking For Love,False,8.0
16769,Billy J. Kramer With The Dakotas,It's Gotta Last Forever,,
16770,The Drifters,I'll Take You Where The Music's Playing,False,11.0
16771,Ian Whitcomb,N-E-R-V-O-U-S!,False,2.0
16772,Lesley Gore,I Won't Love You Anymore (Sorry),False,17.0
16773,The Walker Bros.,My Ship Is Comin' In,,
16774,The Byrds,It Won't Be Wrong,False,36.0
16775,Kim Weston,Helpless,False,25.0
16776,The Drifters,Memories Are Made Of This,False,13.0
16777,Otis Redding,My Lover's Prayer,False,48.0
16778,The Lettermen,I Only Have Eyes For You,False,28.0
16779,The Capitols,I Got To Handle It,False,0.0
16780,Joe Tex,I've Got To Do A Little Bit Better,False,6.0
16781,Nino Tempo & April Stevens,I Can't Go On Livin' Baby Without You,False,1.0
16782,Lee Dorsey,Go-Go Girl,,
16783,Frank Sinatra,I Can't Believe I'm Losing You,False,23.0
16784,"Hugo Montenegro, His Orchestra And Chorus",Hang 'Em High,False,19.0
16785,The Ballads,God Bless Our Love,,
16786,Five By Five,Fire,False,0.0
16787,Jose Feliciano,My World Is Empty Without You,False,35.0
16788,Nazz,Hello It's Me,False,18.0
16789,The Dynamics,Ice Cream Song,False,11.0
16790,Sir Douglas Quintet,Dynamite Woman,False,23.0
16791,The O'Jays,One Night Affair,False,10.0
16792,Led Zeppelin,Living Loving Maid (She's Just A Woman),False,49.0
16793,Jackie DeShannon,It's So Nice,False,7.0
16794,Bobby Byrd,I Need Help (I Can't Do It Alone) Pt. 1,False,7.0
16795,Jr. Walker & The All Stars,Holly Holy,False,35.0
16796,Joey Scarbury,Mixed Up Guy,,
16797,Edwin Starr,Funky Music Sho Nuff Turns Me On,False,24.0
16798,Dave Edmunds,I'm Comin' Home,,
16799,Elvis Presley,Life/Only Believe,,
16800,Audience,Indian Summer,False,14.0
16801,Tin Tin,Is That The Way,,
16802,Nitty Gritty Dirt Band,Jambalaya (On The Bayou),False,35.0
16803,Edgar Winter's White Trash,I Can't Turn You Loose,False,9.0
16804,Van Morrison,Jackie Wilson Said (I'm In Heaven When You Smile),False,51.0
16805,Donny Hathaway,I Love You More Than You'll Ever Know,False,55.0
16806,Mac Davis,Dream Me Home,False,14.0
16807,Don McLean,If We Try,False,31.0
16808,The 5th Dimension,Everything's Been Changed,False,9.0
16809,Roger Daltrey,Giving It All Away,False,42.0
16810,Gilbert O'Sullivan,Happiness Is Me And You,False,13.0
16811,The O'Jays,Let Me Make Love To You,False,30.0
16812,The Pointer Sisters,Going Down Slowly,False,16.0
16813,Tavares,Free Ride,False,11.0
16814,Major Harris,Jealousy,False,13.0
16815,Steely Dan,Kid Charlemagne,False,50.0
16816,Starland Vocal Band,Hail! Hail! Rock And Roll!,,
16817,Kate Taylor,It's In His Kiss (The Shoop Shoop Song),,
16818,Smokie,Needles And Pins,False,39.0
16819,The Doobie Brothers,Echoes Of Love,False,36.0
16820,The Kendalls,Heaven's Just A Sin Away,False,43.0
16821,Queen,It's Late,False,47.0
16822,Kevin Lamb,On The Wrong Track,False,0.0
16823,Rita Coolidge,Love Me Again,False,13.0
16824,Ted Nugent,Need You Bad,False,24.0
16825,10cc,For You And I,False,32.0
16826,Livingston Taylor,I'll Come Running,,
16827,Santana,One Chain (Don't Make No Prison),False,27.0
16828,Cheryl Barnes/Hair Soundtrack,Easy To Be Hard,,
16829,Taka Boom,Night Dancin',,
16830,The Babys,Head First,False,33.0
16831,Frannie Golde,Here I Go (Fallin' In Love Again),False,1.0
16832,Blue Oyster Cult,In Thee,False,32.0
16833,Journey,Good Morning Girl/stay Awhile,,
16834,David Bowie,Fashion,False,53.0
16835,Glen Campbell,I Don't Want To Know Your Name,False,4.0
16836,Jimmy Buffett,It's My Job,False,24.0
16837,Gary U.S. Bonds,Jolé Blon,False,35.0
16838,Dayton,Hot Fun In The Summertime,False,9.0
16839,Bad Company,Electricland,False,36.0
16840,Kansas,Fight Fire With Fire,False,35.0
16841,Alabama,Lady Down On Love,False,43.0
16842,Cheryl Lynn,Encore,False,46.0
16843,Misiing Persons,Give,,
16844,Katrina And The Waves,Is That It?,False,8.0
16845,Bob Seger,Miami,False,37.0
16846,Steve Winwood,Hearts On Fire,False,24.0
16847,BulletBoys,For The Love Of Money,False,35.0
16848,Alice Cooper,House Of Fire,False,42.0
16849,TKA,I Won't Give Up On You,False,14.0
16850,D'zyre,Forever Amo'r,False,19.0
16851,Edie Brickell,Good Times,False,33.0
16852,Brian McKnight,On The Down Low,False,27.0
16853,Elmo & Patsy,Grandma Got Run Over By A Reindeer,False,65.0
16854,Lauryn Hill,Ex-Factor,,
16855,John Michael Montgomery,Hello L.O.V.E.,,
16856,Natalie Featuring Baby Bash,Energy,False,45.0
16857,Craig Morgan,Love Remembers,False,34.0
16858,Hannah Montana,Ice Cream Freeze (Let's Chill),False,43.0
16859,Miranda Cosgrove,Kissin U,False,57.0
16860,Glee Cast,Like A Virgin,False,55.0
16861,Glee Cast,I Will Always Love You,False,40.0
16862,The Script Featuring will.i.am,Hall Of Fame,False,71.0
16863,Wiz Khalifa Featuring Akon,Let It Go,True,48.0
16864,Miley Cyrus,Drive,False,55.0
16865,Brantley Gilbert,My Baby's Guns N' Roses,False,46.0
16866,"Shaggy Featuring Mohombi, Faydee, Costi",I Need Your Love,False,61.0
16867,One Direction,Olivia,False,67.0
16868,Migos,Look At My Dab,True,45.0
16869,Huncho Jack,Huncho Jack,True,60.0
16870,Migos,Emoji A Chain,True,56.0
16871,TK Kravitz Featuring Jacqueez,Ocean,True,67.0
16872,Juice WRLD,Lean Wit Me,True,86.0
16873,Ariana Grande,Goodnight N Go,False,57.0
16874,The Upbeats,Just Like In The Movies,,
16875,Buddy Knox,I Think I'm Gonna Kill Myself,False,18.0
16876,Johnny Cash,Five Feet High And Rising,False,50.0
16877,Gary Stites,Lawdy Miss Clawdy,,
16878,Clarence Henry,Lonely Street,False,11.0
16879,The Rays,Magic Moon (Clair De Lune),False,3.0
16880,Duane Eddy And The Rebels,My Blue Heaven,,
16881,The Cleftones,For Sentimental Reasons,False,14.0
16882,Andy Williams,Fly By Night,,
16883,Jimmy McCracklin,Just Got To Know,False,0.0
16884,Saverio Saridis,Love Is The Sweetest Thing,,
16885,Kenny Ball and his Jazzmen,March Of The Siamese Children,False,4.0
16886,Wanda Jackson,If I Cried Every Time You Hurt Me,False,16.0
16887,Fats Domino,Nothing New (Same Old Thing),False,24.0
16888,Hank Snow,I've Been Everywhere,False,44.0
16889,The Exciters,He's Got The Power,False,24.0
16890,Matt Lucas,I'm Movin' On,,
16891,Rick Nelson,Gypsy Woman,,
16892,The Bachelors,I Wouldn't Trade You For The World,False,16.0
16893,J. Frank Wilson and The Cavaliers,Hey Little One,,
16894,Jerry Vale,For Mama,False,15.0
16895,Ray Charles and his Orchestra,I Gotta Woman (Part One),,
16896,The Ronettes Featuring Veronica,Is This What I Get For Loving You?,False,26.0
16897,G.L. Crockett,It's A Man Down There,False,1.0
16898,Jim Reeves,Is It Really Over?,False,23.0
16899,Patty Duke,Funny Little Butterflies,,
16900,The 4 Seasons,Little Boy (In Grown Up Clothes),False,11.0
16901,Lyme & Cybelle,Follow Me,,
16902,Mike Williams,Lonely Soldier,,
16903,The Isley Brothers,I Guess I'll Always Love You,False,37.0
16904,Joe Tex,I Believe I'm Gonna Make It,False,16.0
16905,Gene Pitney,Just One Smile,False,12.0
16906,Ellie Greenwich,I Want You To Be My Baby,,
16907,The Mojo Men,Me About You,,
16908,Jack Jones,Now I Know,False,8.0
16909,Frankie Laine,"Laura, What's He Got That I Ain't Got",,
16910,The Youngbloods,Get Together,False,53.0
16911,Al Martino,More Than The Eye Can See,,
16912,Etta James,I Got You Babe,False,41.0
16913,Bobby Cole,Mister Bo Jangles,,
16914,The Masqueraders,I Ain't Got To Love Nobody Else,,
16915,The Archies,Feelin' So Good (S.k.o.o.b.y-D.o.o),,
16916,Arthur Conley,"Ob-La-Di, Ob-La-Da",,
16917,Bill Deal & The Rhondels,Nothing Succeeds Like Success,False,9.0
16918,Ginger Baker's Air Force,Man Of Constant Sorrow,False,15.0
16919,Conway Twitty,Hello Darlin',False,59.0
16920,B.B. King,Hummingbird,False,49.0
16921,The Buoys,Give Up Your Guns,False,39.0
16922,Steppenwolf,For Ladies Only,False,24.0
16923,The Coasters,Love Potion Number Nine,,
16924,Kenny Loggins With Jim Messina,Nobody But You,,
16925,Ocean,One More Chance,False,1.0
16926,Slade,Gudbuy T' Jane,,
16927,Dr. Hook And The Medicine Show,Life Ain't Easy,False,27.0
16928,Aerosmith,Dream On,False,79.0
16929,Bette Midler,In The Mood,False,25.0
16930,Razzy,I Hate Hate,False,31.0
16931,Grand Canyon,Evil Boll-weevil,,
16932,The Charlie Daniels Band,Long Haired Country Boy,False,62.0
16933,Minnie Riperton,Inside My Love,False,53.0
16934,Ozark Mountain Daredevils,If I Only Knew,False,14.0
16935,Jethro Tull,Locomotive Breath,False,61.0
16936,The Staple Singers,New Orleans,False,13.0
16937,"Hamilton, Joe Frank & Reynolds",Everyday Without You,,
16938,Mac Davis,Forever Lovers,False,11.0
16939,The Steve Gibbons Band,Johnny Cool,,
16940,Lou Rawls,Groovy People,False,29.0
16941,Aretha Franklin,Look Into Your Heart,False,25.0
16942,James Taylor,Honey Don't Leave L.a.,,
16943,Santa Esmeralda,House Of The Rising Sun,False,33.0
16944,Doucette,Mama Let Him Play,False,44.0
16945,Captain & Tennille,I'm On My Way,False,12.0
16946,Starz,Hold On To The Night,False,4.0
16947,The Marshall Tucker Band,Dream Lover,False,11.0
16948,Rupert Holmes,Let's Get Crazy Tonight,False,27.0
16949,Tom Petty,Listen To Her Heart,False,52.0
16950,Judy Cheeks,Mellow Lovin',,
16951,Philly Cream,Motown Review,False,4.0
16952,Tony Joe White,I Get Off On It,False,23.0
16953,Spider,Everything Is Alright,False,2.0
16954,Peter Allen,Fly Away,False,18.0
16955,Melissa Manchester & Peabo Bryson,Lovers After All,False,8.0
16956,Sherbs,I Have The Skill,False,8.0
16957,Paul Anka,I've Been Waiting For You All Of My Life,,
16958,Shalamar,Make That Move,False,37.0
16959,Bryan Adams,Lonely Nights,False,34.0
16960,Stevie Woods,Fly Away,,
16961,Aldo Nova,Foolin' Yourself,False,28.0
16962,Berlin,Masquerade,False,31.0
16963,Stray Cats,Look At That Cadillac,False,23.0
16964,T.G. Sheppard With Clint Eastwood,Make My Day,,
16965,Thomas Dolby,Hyperactive,False,35.0
16966,Bar-Kays,Freakshow On The Dance Floor,False,42.0
16967,Bonnie Tyler,Here She Comes,False,26.0
16968,Giuffria,Lonely In Love,False,8.0
16969,Sister Sledge,Frankie,False,47.0
16970,Jesse Johnson's Revue,I Want My Girl,False,22.0
16971,Bon Jovi,In And Out Of Love,False,49.0
16972,Diana Ross,Eaten Alive,False,15.0
16973,Kenny Rogers,Morning Desire,False,38.0
16974,John Cafferty,Heart's On Fire,False,62.0
16975,Voices Of America,Hands Across America,,
16976,John Waite,If Anybody Had A Heart,,
16977,Ray Parker Jr.,I Don't Think That Man Should Sleep Alone,,
16978,Pink Floyd,Learning To Fly,False,58.0
16979,James Taylor,Never Die Young,False,43.0
16980,Cinderella,Gypsy Road,False,59.0
16981,New Kids On The Block,Let's Try It Again,False,35.0
16982,Roxette,How Do You Do!,False,66.0
16983,Peter Cetera (Duet With Chaka Khan),Feels Like Heaven,,
16984,Paul McCartney,Hope Of Deliverance,False,52.0
16985,Boy Krazy,Good Times With Bad Boys,False,8.0
16986,Smooth,Mind Blowin',False,26.0
16987,The Beatnuts Featuring Big Punisher & Cuban Link,Off The Books,True,57.0
16988,Rell Featuring Jay-Z,Love For Free,True,34.0
16989,AFI,Love Like Winter,False,51.0
16990,Gnarls Barkley,Going On,False,46.0
16991,Robin Thicke,Magic,False,45.0
16992,Katy Perry,Hot N Cold,False,66.0
16993,Jesse McCartney,It's Over,False,42.0
16994,Glee Cast Featuring Kristin Chenoweth,Maybe This Time,False,47.0
16995,Thirty Seconds To Mars,Kings And Queens,False,65.0
16996,Marsha Ambrosius,Hope She Cheats On You (With A Basketball Player),False,37.0
16997,Mac Miller,Knock Knock,True,68.0
16998,Jack Johnson,I Got You,False,65.0
16999,Hunter Hayes,Invisible,False,57.0
17000,Lorde,Glory And Gore,False,63.0
17001,Nicki Minaj Featuring Ariana Grande,Get On Your Knees,True,54.0
17002,Jess Glynne,Hold My Hand,False,64.0
17003,Jordan Smith,Halo,False,40.0
17004,Alessia Cara,How Far I'll Go,False,70.0
17005,"DJ Khaled Featuring Travis Scott, Rick Ross & Big Sean",On Everything,True,44.0
17006,The Chainsmokers,Honest,False,64.0
17007,Janet & Daddy Yankee,Made For Now,False,59.0
